device_timestamp_us,sequence,target_frame,written_frame,source_frames,gap_frames,trimmed_frames
11409004,836,129120,129120,240,0,0
11419183,837,129360,129360,240,0,0
11429101,839,129600,129600,240,0,0
11439073,840,129840,129840,240,0,0
11449067,842,130080,130080,240,0,0
11458980,843,130320,130320,240,0,0
11469077,845,130560,130560,240,0,0
11479199,846,130803,130803,240,3,0
11489170,848,131043,131043,240,0,0
11499036,849,131279,131283,240,0,4
11509051,851,131519,131519,240,0,0
11519069,852,131759,131759,240,0,0
11529099,854,131999,131999,240,0,0
11539037,855,132239,132239,240,0,0
11549052,857,132479,132479,240,0,0
11559077,858,132719,132719,240,0,0
11569102,860,132959,132959,240,0,0
11579038,861,133199,133199,240,0,0
11589082,863,133439,133439,240,0,0
11599191,864,133683,133683,240,4,0
11609124,866,133923,133923,240,0,0
11619134,867,134163,134163,240,0,0
11629099,869,134400,134403,240,0,3
11639121,870,134640,134640,240,0,0
11649112,872,134880,134880,240,0,0
11659100,873,135120,135120,240,0,0
11669101,875,135360,135360,240,0,0
11679106,876,135600,135600,240,0,0
11689142,878,135840,135840,240,0,0
11699197,879,136083,136083,240,3,0
11709026,881,136319,136323,240,0,4
11719023,882,136559,136559,240,0,0
11729301,884,136805,136805,240,6,0
11739076,885,137040,137045,240,0,5
11749075,887,137280,137280,240,0,0
11759072,888,137520,137520,240,0,0
11769055,890,137760,137760,240,0,0
11779023,891,138000,138000,240,0,0
11789094,893,138240,138240,240,0,0
11799123,894,138480,138480,240,0,0
11809018,896,138720,138720,240,0,0
11819186,897,138960,138960,240,0,0
11829107,899,139200,139200,240,0,0
11839115,900,139440,139440,240,0,0
11849147,902,139680,139680,240,0,0
11859248,903,139924,139924,240,4,0
11869059,905,140159,140164,240,0,5
11879025,906,140399,140399,240,0,0
11889154,909,140642,140642,240,3,0
11899419,910,140888,140888,240,6,0
11909082,912,141120,141128,240,0,8
11918991,913,141360,141360,240,0,0
11929101,915,141600,141600,240,0,0
11939101,916,141840,141840,240,0,0
11949098,918,142080,142080,240,0,0
11959106,919,142320,142320,240,0,0
11969102,921,142560,142560,240,0,0
11979106,922,142800,142800,240,0,0
11989102,924,143040,143040,240,0,0
11999128,925,143280,143280,240,0,0
12009160,927,143520,143520,240,0,0
12018999,928,143760,143760,240,0,0
12029124,930,144000,144000,240,0,0
12039119,931,144240,144240,240,0,0
12049107,933,144480,144480,240,0,0
12059084,934,144720,144720,240,0,0
12069044,936,144960,144960,240,0,0
12079023,937,145200,145200,240,0,0
12089115,939,145440,145440,240,0,0
12099177,940,145680,145680,240,0,0
12109197,942,145923,145923,240,3,0
12119112,943,146163,146163,240,0,0
12129109,945,146403,146403,240,0,0
12139027,946,146639,146643,240,0,4
12149116,948,146879,146879,240,0,0
12159062,949,147119,147119,240,0,0
12169109,951,147359,147359,240,0,0
12178987,952,147599,147599,240,0,0
12189194,954,147843,147843,240,4,0
12199349,955,148086,148086,240,3,0
12209020,957,148318,148326,240,0,8
12219113,958,148561,148561,240,3,0
12229101,960,148801,148801,240,0,0
12239170,961,149041,149041,240,0,0
12249468,963,149289,149289,240,8,0
12259089,964,149520,149529,240,0,9
12269102,966,149760,149760,240,0,0
12279113,967,150000,150000,240,0,0
12289017,969,150240,150240,240,0,0
12299169,970,150480,150480,240,0,0
12309116,972,150720,150720,240,0,0
12319138,973,150960,150960,240,0,0
12329108,975,151200,151200,240,0,0
12339153,976,151440,151440,240,0,0
12349127,978,151680,151680,240,0,0
12359112,979,151920,151920,240,0,0
12369104,981,152160,152160,240,0,0
12379101,982,152400,152400,240,0,0
12389110,984,152640,152640,240,0,0
12399088,985,152880,152880,240,0,0
12409888,987,153139,153139,240,19,0
12419110,988,153361,153379,240,0,18
12429126,990,153601,153601,240,0,0
12439104,991,153841,153841,240,0,0
12449131,993,154081,154081,240,0,0
12459101,994,154321,154321,240,0,0
12469127,996,154561,154561,240,0,0
12479097,997,154801,154801,240,0,0
12489119,999,155041,155041,240,0,0
12499102,1000,155281,155281,240,0,0
12509351,1002,155526,155526,240,5,0
12519111,1003,155761,155766,240,0,5
12529090,1005,156001,156001,240,0,0
12539148,1006,156241,156241,240,0,0
12549100,1008,156481,156481,240,0,0
12559085,1009,156721,156721,240,0,0
12569118,1011,156961,156961,240,0,0
12579106,1012,157201,157201,240,0,0
12589122,1014,157441,157441,240,0,0
12599111,1015,157681,157681,240,0,0
12609115,1017,157921,157921,240,0,0
12619141,1018,158161,158161,240,0,0
12629129,1020,158401,158401,240,0,0
12639320,1021,158646,158646,240,5,0
12649194,1023,158883,158886,240,0,3
12659110,1024,159123,159123,240,0,0
12669114,1026,159363,159363,240,0,0
12679102,1027,159600,159603,240,0,3
12689108,1029,159840,159840,240,0,0
12699101,1030,160080,160080,240,0,0
12709221,1032,160323,160323,240,3,0
12719132,1033,160563,160563,240,0,0
12729106,1035,160803,160803,240,0,0
12739229,1036,161043,161043,240,0,0
12749123,1038,161283,161283,240,0,0
12759102,1039,161520,161523,240,0,3
12769122,1041,161760,161760,240,0,0
12779069,1042,162000,162000,240,0,0
12789061,1044,162240,162240,240,0,0
12798982,1045,162480,162480,240,0,0
12809124,1047,162720,162720,240,0,0
12819152,1048,162960,162960,240,0,0
12829103,1050,163200,163200,240,0,0
12839086,1051,163440,163440,240,0,0
12849207,1053,163683,163683,240,3,0
12859136,1054,163923,163923,240,0,0
12869120,1056,164163,164163,240,0,0
12879095,1057,164400,164403,240,0,3
12889117,1059,164640,164640,240,0,0
12899111,1060,164880,164880,240,0,0
12909112,1062,165120,165120,240,0,0
12919246,1063,165364,165364,240,4,0
12929178,1065,165604,165604,240,0,0
12939102,1066,165840,165844,240,0,4
12949121,1068,166080,166080,240,0,0
12959118,1069,166320,166320,240,0,0
12969124,1071,166560,166560,240,0,0
12979052,1072,166800,166800,240,0,0
12989122,1074,167040,167040,240,0,0
12999041,1075,167280,167280,240,0,0
13009109,1077,167520,167520,240,0,0
13019199,1078,167763,167763,240,3,0
13029140,1080,168003,168003,240,0,0
13039099,1081,168240,168243,240,0,3
13049110,1083,168480,168480,240,0,0
13059036,1084,168720,168720,240,0,0
13069126,1086,168960,168960,240,0,0
13079095,1087,169200,169200,240,0,0
13089111,1089,169440,169440,240,0,0
13099094,1090,169680,169680,240,0,0
13109113,1092,169920,169920,240,0,0
13119256,1093,170164,170164,240,4,0
13129158,1095,170404,170404,240,0,0
13139102,1096,170640,170644,240,0,4
13149113,1098,170880,170880,240,0,0
13159098,1099,171120,171120,240,0,0
13169100,1101,171360,171360,240,0,0
13179104,1102,171600,171600,240,0,0
13189113,1104,171840,171840,240,0,0
13199098,1105,172080,172080,240,0,0
13209103,1107,172320,172320,240,0,0
13219108,1108,172560,172560,240,0,0
13229288,1110,172805,172805,240,5,0
13239119,1111,173041,173045,240,0,4
13249119,1113,173281,173281,240,0,0
13259113,1114,173521,173521,240,0,0
13269128,1116,173761,173761,240,0,0
13279101,1117,174001,174001,240,0,0
13289123,1119,174241,174241,240,0,0
13299110,1120,174481,174481,240,0,0
13309119,1122,174721,174721,240,0,0
13319153,1123,174961,174961,240,0,0
13329265,1125,175204,175204,240,3,0
13339113,1126,175441,175444,240,0,3
13349110,1128,175681,175681,240,0,0
13359101,1129,175921,175921,240,0,0
13369107,1131,176161,176161,240,0,0
13379108,1132,176401,176401,240,0,0
13389115,1134,176641,176641,240,0,0
13399034,1135,176881,176881,240,0,0
13409105,1137,177121,177121,240,0,0
13419111,1138,177361,177361,240,0,0
13429273,1140,177605,177605,240,4,0
13439049,1141,177839,177845,240,0,6
13449125,1143,178079,178079,240,0,0
13459112,1144,178319,178319,240,0,0
13469109,1146,178559,178559,240,0,0
13479126,1147,178799,178799,240,0,0
13489138,1149,179039,179039,240,0,0
13499211,1150,179283,179283,240,4,0
13509134,1152,179523,179523,240,0,0
13519214,1153,179763,179763,240,0,0
13529250,1155,180003,180003,240,0,0
13539508,1156,180250,180250,240,7,0
13549059,1158,180479,180490,240,0,11
13559109,1159,180719,180719,240,0,0
13569113,1161,180959,180959,240,0,0
13579095,1162,181199,181199,240,0,0
13589115,1164,181439,181439,240,0,0
13599102,1165,181679,181679,240,0,0
13609110,1167,181919,181919,240,0,0
13619122,1168,182159,182159,240,0,0
13629332,1170,182406,182406,240,7,0
13639124,1171,182641,182646,240,0,5
13649112,1173,182881,182881,240,0,0
13659099,1174,183121,183121,240,0,0
13669150,1176,183361,183361,240,0,0
13679107,1177,183601,183601,240,0,0
13689102,1179,183841,183841,240,0,0
13699079,1180,184081,184081,240,0,0
13709118,1182,184321,184321,240,0,0
13719092,1183,184561,184561,240,0,0
13729105,1185,184801,184801,240,0,0
13739174,1186,185041,185041,240,0,0
13749124,1188,185281,185281,240,0,0
13759100,1189,185521,185521,240,0,0
13769103,1191,185761,185761,240,0,0
13779105,1192,186001,186001,240,0,0
13789104,1194,186241,186241,240,0,0
13799084,1195,186481,186481,240,0,0
13809115,1197,186721,186721,240,0,0
13819081,1198,186961,186961,240,0,0
13829121,1200,187201,187201,240,0,0
13839199,1201,187441,187441,240,0,0
13849219,1203,187681,187681,240,0,0
13859130,1204,187921,187921,240,0,0
13869123,1206,188161,188161,240,0,0
13879098,1207,188401,188401,240,0,0
13889117,1210,188641,188641,240,0,0
13899139,1211,188881,188881,240,0,0
13909113,1213,189121,189121,240,0,0
13919085,1214,189361,189361,240,0,0
13929120,1216,189601,189601,240,0,0
13939209,1217,189841,189841,240,0,0
13949150,1219,190081,190081,240,0,0
13959094,1220,190321,190321,240,0,0
13969121,1222,190561,190561,240,0,0
13979093,1223,190801,190801,240,0,0
13989205,1225,191041,191041,240,0,0
13999115,1226,191281,191281,240,0,0
14009112,1228,191521,191521,240,0,0
14019109,1229,191761,191761,240,0,0
14029116,1231,192001,192001,240,0,0
14039227,1232,192241,192241,240,0,0
14049190,1234,192481,192481,240,0,0
14059078,1235,192721,192721,240,0,0
14069120,1237,192961,192961,240,0,0
14079112,1238,193201,193201,240,0,0
14089111,1240,193441,193441,240,0,0
14099112,1241,193681,193681,240,0,0
14109119,1243,193921,193921,240,0,0
14119107,1244,194161,194161,240,0,0
14129116,1246,194401,194401,240,0,0
14139093,1247,194641,194641,240,0,0
14149306,1249,194885,194885,240,4,0
14159174,1250,195122,195125,240,0,3
14169120,1252,195362,195362,240,0,0
14179218,1253,195602,195602,240,0,0
14189135,1255,195842,195842,240,0,0
14199103,1256,196082,196082,240,0,0
14209133,1258,196322,196322,240,0,0
14219112,1259,196562,196562,240,0,0
14229125,1261,196802,196802,240,0,0
14239131,1262,197042,197042,240,0,0
14249246,1264,197282,197282,240,0,0
14259115,1265,197522,197522,240,0,0
14269133,1267,197762,197762,240,0,0
14279122,1268,198002,198002,240,0,0
14289127,1270,198242,198242,240,0,0
14299108,1271,198482,198482,240,0,0
14309132,1273,198722,198722,240,0,0
14319118,1274,198962,198962,240,0,0
14329127,1276,199202,199202,240,0,0
14339110,1277,199442,199442,240,0,0
14349232,1279,199682,199682,240,0,0
14359159,1280,199922,199922,240,0,0
14369146,1282,200162,200162,240,0,0
14379121,1283,200402,200402,240,0,0
14389126,1285,200642,200642,240,0,0
